School Name,School URL,Staff Name,Degree,Research Interests,ORCID,URL
University of Lagos - Lagos Business School,https://www.lbs.edu.ng,Olayinka David,unknown,,,https://www.lbs.edu.ng
University of Lagos - Lagos Business School,https://www.lbs.edu.ng,Okey Nwuke,phd,management,,https://www.lbs.edu.ng
University of Lagos - Lagos Business School,https://www.lbs.edu.ng,Christopher Kolade,phd,,,https://www.lbs.edu.ng
University of Lagos - Lagos Business School,https://www.lbs.edu.ng,Nwando Ivenso,unknown,,,https://www.lbs.edu.ng
University of Lagos - Lagos Business School,https://www.lbs.edu.ng,Enase Okonedo,masters,management,,https://www.lbs.edu.ng
University of Lagos - Lagos Business School,https://www.lbs.edu.ng,Chris Ogbechie,masters,management,,https://www.lbs.edu.ng
University of Lagos - Lagos Business School,https://www.lbs.edu.ng,Eugene Ohu,phd,,,https://www.lbs.edu.ng
University of Lagos - Lagos Business School,https://www.lbs.edu.ng,Tony Elumelu,unknown,management,,https://www.lbs.edu.ng
